98, 85, 4, 8, 0, 95, 32, 41, 9, 27, 48, 82, 29, 94, 91, 31, 74, 10, 51, 76, 56, 60, 37, 52, 84, 52, 34, 35, 60, 56, 67, 10, 72, 29, 96, 62, 29, 7, 84, 41, 85, 43, 82, 90, 0, 95, 4, 7, 11, 28, 15, 78, 20, 71, 59, 66, 23, 79, 95, 82, 77, 40, 86, 5, 63, 53, 34, 86, 43, 72, 4, 5, 26, 29, 57, 35, 31, 66, 41, 41, 81, 23, 31, 36, 0, 46, 74, 49, 10, 8, 36, 21, 55, 69, 54, 29, 36, 82, 33, 55, 
34, 72, 7, 67, 54, 8, 46, 86, 95, 12, 7, 29, 82, 82, 57, 55, 65, 70, 69, 5, 87, 61, 71, 6, 34, 24, 89, 26, 20, 85, 95, 77, 24, 40, 23, 37, 73, 6, 5, 86, 54, 60, 63, 31, 30, 60, 10, 71, 12, 14, 1, 20, 78, 99, 80, 15, 50, 41, 58, 96, 3, 24, 56, 86, 52, 1, 24, 0, 56, 81, 10, 31, 2, 2, 84, 22, 18, 39, 43, 16, 48, 32, 27, 36, 71, 11, 25, 56, 38, 95, 35, 60, 96, 92, 26, 12, 21, 15, 62, 68, 
52, 57, 74, 66, 47, 88, 91, 3, 26, 18, 97, 15, 91, 25, 18, 60, 56, 20, 22, 22, 40, 50, 79, 52, 33, 83, 61, 89, 20, 44, 1, 58, 50, 11, 93, 38, 92, 72, 17, 12, 35, 60, 71, 78, 84, 48, 64, 97, 88, 41, 47, 69, 0, 44, 80, 84, 45, 19, 13, 26, 75, 18, 5, 98, 41, 10, 29, 19, 15, 12, 53, 51, 21, 18, 90, 66, 98, 92, 38, 38, 29, 66, 98, 76, 37, 72, 77, 13, 45, 32, 87, 9, 80, 56, 94, 10, 89, 42, 30, 45, 
72, 64, 87, 72, 39, 41, 27, 92, 75, 29, 98, 26, 13, 48, 31, 29, 55, 83, 32, 68, 81, 27, 29, 18, 67, 30, 81, 17, 60, 73, 26, 46, 60, 16, 60, 66, 60, 48, 81, 10, 70, 59, 74, 14, 49, 25, 16, 13, 60, 51, 23, 2, 14, 51, 68, 0, 14, 61, 90, 78, 4, 46, 39, 22, 77, 60, 23, 97, 59, 40, 53, 4, 81, 65, 23, 20, 38, 99, 90, 46, 17, 64, 50, 18, 61, 31, 21, 87, 34, 20, 87, 0, 41, 21, 42, 75, 71, 2, 7, 85, 
98, 63, 98, 99, 74, 89, 96, 78, 63, 88, 18, 83, 41, 57, 83, 26, 86, 36, 14, 48, 94, 39, 42, 79, 55, 52, 34, 31, 38, 89, 21, 97, 23, 94, 27, 79, 68, 35, 29, 16, 33, 64, 96, 84, 12, 52, 37, 85, 94, 10, 10, 82, 91, 92, 42, 95, 37, 86, 31, 58, 84, 51, 39, 19, 62, 98, 17, 35, 71, 38, 80, 35, 89, 94, 87, 85, 57, 7, 17, 9, 75, 64, 22, 93, 41, 57, 95, 77, 99, 14, 29, 18, 83, 97, 85, 21, 1, 59, 12, 32, 
73, 75, 89, 35, 21, 33, 46, 98, 63, 45, 59, 64, 92, 39, 81, 36, 50, 41, 71, 41, 36, 24, 32, 10, 25, 84, 98, 50, 38, 90, 46, 36, 62, 60, 1, 75, 60, 74, 55, 30, 16, 22, 82, 28, 52, 13, 7, 8, 95, 91, 31, 94, 40, 41, 30, 82, 83, 81, 50, 15, 6, 60, 4, 65, 53, 78, 61, 40, 76, 32, 22, 35, 87, 29, 31, 78, 60, 59, 58, 69, 54, 81, 76, 39, 17, 36, 73, 12, 38, 84, 31, 33, 55, 59, 7, 3, 4, 13, 78, 98, 
29, 0, 78, 71, 74, 97, 84, 35, 39, 20, 69, 87, 82, 12, 72, 0, 13, 46, 94, 46, 36, 90, 54, 24, 68, 6, 55, 90, 78, 74, 43, 16, 8, 95, 38, 93, 74, 47, 66, 20, 88, 15, 84, 36, 70, 58, 45, 16, 54, 68, 89, 35, 70, 63, 14, 24, 32, 59, 65, 9, 0, 54, 30, 63, 7, 31, 43, 80, 99, 55, 5, 59, 15, 30, 81, 74, 30, 65, 67, 2, 76, 70, 49, 52, 42, 18, 99, 93, 33, 4, 40, 14, 3, 84, 71, 96, 48, 20, 33, 28, 
1, 91, 91, 92, 87, 13, 81, 75, 49, 88, 55, 29, 85, 37, 44, 9, 79, 51, 38, 7, 49, 29, 70, 32, 63, 60, 93, 94, 74, 74, 88, 44, 48, 16, 84, 21, 61, 91, 30, 0, 90, 47, 78, 72, 53, 82, 67, 85, 55, 32, 88, 92, 99, 43, 47, 3, 40, 16, 98, 49, 23, 59, 60, 49, 28, 62, 98, 66, 88, 42, 99, 43, 32, 91, 87, 60, 67, 23, 35, 30, 15, 83, 39, 2, 71, 95, 41, 46, 39, 41, 67, 57, 53, 73, 72, 46, 13, 25, 90, 45, 
86, 93, 87, 15, 49, 62, 81, 16, 35, 2, 98, 82, 81, 58, 7, 95, 60, 44, 93, 90, 76, 71, 22, 48, 96, 78, 34, 86, 43, 56, 75, 64, 91, 88, 25, 71, 1, 30, 93, 29, 6, 54, 48, 15, 14, 3, 48, 26, 7, 53, 65, 9, 27, 81, 89, 28, 13, 20, 48, 46, 27, 64, 11, 73, 49, 88, 47, 9, 46, 82, 54, 24, 89, 48, 24, 10, 28, 25, 71, 77, 80, 56, 54, 21, 30, 45, 20, 85, 19, 92, 54, 15, 83, 20, 12, 30, 76, 69, 19, 51, 
26, 53, 94, 48, 8, 50, 18, 52, 86, 57, 99, 13, 65, 41, 84, 76, 41, 89, 33, 75, 84, 3, 98, 69, 42, 68, 74, 97, 28, 32, 5, 83, 0, 25, 67, 21, 99, 68, 47, 19, 33, 82, 89, 74, 92, 40, 2, 59, 88, 38, 14, 96, 70, 18, 44, 36, 41, 73, 52, 43, 95, 28, 15, 99, 72, 51, 42, 55, 62, 72, 86, 42, 24, 88, 55, 20, 95, 76, 96, 47, 40, 76, 65, 74, 22, 38, 83, 41, 61, 95, 75, 69, 99, 48, 18, 99, 60, 5, 53, 9, 
43, 88, 47, 95, 83, 5, 99, 72, 61, 97, 2, 80, 12, 46, 71, 18, 0, 45, 16, 94, 75, 2, 26, 61, 72, 31, 79, 12, 36, 17, 22, 5, 55, 77, 81, 64, 54, 87, 17, 38, 63, 53, 87, 64, 34, 95, 76, 67, 49, 20, 93, 49, 77, 11, 31, 21, 69, 57, 34, 38, 56, 89, 53, 85, 79, 98, 16, 9, 82, 74, 16, 89, 75, 93, 45, 20, 66, 58, 26, 89, 20, 16, 34, 88, 91, 92, 32, 27, 15, 89, 95, 13, 42, 10, 14, 29, 64, 92, 80, 83, 
8, 22, 15, 91, 43, 95, 0, 37, 45, 60, 44, 93, 76, 36, 66, 94, 25, 94, 20, 69, 80, 4, 40, 50, 47, 15, 73, 18, 63, 63, 42, 87, 0, 23, 15, 77, 24, 15, 17, 97, 64, 23, 86, 57, 24, 70, 1, 13, 6, 63, 48, 47, 42, 76, 17, 75, 54, 62, 24, 70, 19, 94, 50, 30, 94, 49, 24, 63, 51, 20, 3, 31, 31, 59, 49, 65, 57, 93, 9, 41, 68, 1, 26, 94, 81, 93, 87, 61, 58, 59, 3, 35, 92, 74, 18, 2, 84, 56, 90, 54, 
23, 24, 26, 92, 48, 72, 56, 53, 14, 33, 40, 44, 14, 76, 22, 54, 33, 83, 88, 60, 44, 38, 59, 95, 76, 27, 55, 71, 3, 97, 62, 15, 40, 92, 20, 22, 46, 70, 91, 62, 44, 50, 56, 68, 57, 88, 3, 32, 69, 21, 98, 9, 85, 23, 45, 98, 94, 2, 78, 89, 69, 28, 61, 43, 91, 32, 84, 33, 13, 33, 24, 63, 92, 0, 73, 8, 13, 81, 69, 99, 26, 33, 56, 94, 30, 89, 88, 2, 16, 43, 45, 16, 51, 23, 73, 37, 14, 82, 9, 41, 
13, 79, 54, 55, 62, 99, 4, 31, 1, 4, 60, 22, 85, 94, 93, 76, 24, 46, 47, 7, 26, 21, 56, 3, 46, 11, 87, 38, 27, 87, 55, 56, 47, 73, 68, 43, 38, 98, 4, 11, 23, 71, 26, 78, 33, 25, 29, 76, 18, 5, 50, 35, 95, 4, 76, 91, 92, 47, 38, 38, 59, 3, 4, 65, 53, 65, 7, 8, 11, 58, 53, 64, 62, 91, 93, 67, 46, 1, 15, 97, 89, 61, 9, 68, 16, 32, 93, 65, 60, 71, 85, 96, 81, 47, 14, 2, 9, 85, 35, 37, 
85, 98, 82, 95, 19, 3, 29, 38, 96, 16, 23, 49, 79, 46, 23, 62, 77, 85, 36, 57, 69, 72, 27, 60, 30, 47, 31, 63, 66, 23, 6, 28, 37, 8, 2, 79, 30, 73, 83, 29, 7, 45, 30, 52, 12, 3, 65, 32, 28, 6, 83, 71, 46, 93, 79, 73, 48, 7, 81, 88, 86, 30, 74, 60, 63, 4, 32, 99, 41, 68, 14, 37, 92, 52, 95, 95, 71, 33, 55, 47, 5, 76, 83, 10, 91, 86, 69, 43, 92, 76, 64, 78, 67, 59, 83, 78, 66, 48, 58, 36, 
55, 1, 27, 53, 46, 56, 3, 3, 7, 72, 89, 80, 96, 88, 21, 16, 82, 3, 84, 76, 54, 49, 28, 67, 41, 71, 77, 76, 52, 10, 45, 96, 87, 80, 44, 30, 93, 72, 67, 5, 29, 85, 0, 50, 58, 55, 31, 48, 83, 7, 33, 37, 34, 2, 44, 37, 40, 49, 8, 51, 82, 49, 91, 13, 96, 44, 61, 39, 1, 57, 64, 35, 93, 47, 3, 78, 36, 10, 58, 57, 40, 35, 19, 96, 2, 47, 45, 20, 92, 48, 69, 47, 89, 33, 75, 90, 6, 9, 84, 78, 
